Prompt,Actual,Expected,Precision,Recall,F1
'What are some of the best movies from 2005?',5,64,0.6,0.2,0.3
'best war films',5,294,0.8,0.25,0.3809523809523809
'What are some movies that involve betrayal as a central theme?',6,2099,0.3333333333333333,0.1428571428571428,0.2
'What movies are considered better than expected by the audience?',5,835,0.2,0.0769230769230769,0.1111111111111111
'better than the american version',0,40,0.0,0.0,0.0
'What are some popular biblical movies that have been adapted from the Bible or have strong religious themes?',6,103,0.3333333333333333,0.1428571428571428,0.2
'What are some popular movies with a big budget?',5,1011,0.6,0.2,0.3
'What are some popular biographical movies?',5,604,0.8,0.25,0.3809523809523809
'What are some popular biographical movies that focus on the lives of famous individuals?',5,415,0.6,0.2,0.3
'What are some popular biopics that depict the lives of famous individuals?',5,453,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies featuring birds as main characters or significant elements?',6,21,0.3333333333333333,0.1428571428571428,0.2
'What are some movies with the theme of 'biting'?',5,144,0.0,0.0,0.0
'bittersweet',5,1097,0.8,0.25,0.3809523809523809
'What are some bizarre movie examples that you can think of?',5,294,0.8,0.25,0.3809523809523809
'Black and White Movies',5,830,0.4,0.1428571428571428,0.2105263157894736
'black comedy',5,447,0.4,0.1428571428571428,0.2105263157894736
'blaxploitation',5,40,0.8,0.25,0.3809523809523809
'What are some examples of movies with a bleak theme or atmosphere?',5,1685,0.4,0.1428571428571428,0.2105263157894736
'What are some movies related to the theme of blindness?',5,93,1.0,0.2941176470588235,0.4545454545454545
'What are some popular movies related to the theme of blood?',5,863,0.6,0.2,0.3
'What are some popular movies with the theme of violence or gore?',7,790,0.4285714285714285,0.2,0.2727272727272727
'boarding school',4,70,0.25,0.0769230769230769,0.1176470588235294
'What are some popular movies related to the theme of boats or boat adventures?',6,90,0.1666666666666666,0.0769230769230769,0.1052631578947368
'What are some popular Bollywood movies?',5,487,1.0,0.2941176470588235,0.4545454545454545
'What are some movies related to the theme of bombs?',5,162,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies related to the 'Bond' franchise?',5,52,0.6,0.2,0.3
'What are some popular movies adapted from books?',10,390,0.3,0.2,0.24
'book was better',5,314,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies adapted from books?',9,673,0.4444444444444444,0.25,0.32
'What are some examples of movies that have been described as boring?',5,26,0.0,0.0,0.0
'boring!',0,89,0.0,0.0,0.0
'What are some popular movies set in Boston or featuring Boston-related themes?',5,92,0.6,0.2,0.3
'What are some movies related to the theme of bowling?',5,9,0.2,0.1111111111111111,0.1428571428571428
'What are some popular movies related to the theme of boxing?',5,49,0.8,0.25,0.3809523809523809
'What are some movies that involve brainwashing as a central theme or plot?',6,215,0.1666666666666666,0.0769230769230769,0.1052631578947368
'What is a movie related to the theme of Brazil?',5,31,0.2,0.0769230769230769,0.1111111111111111
'What are some breathtaking movies that have left a lasting impression on viewers?',7,1151,0.4285714285714285,0.2,0.2727272727272727
'What are some brilliant movies that have received critical acclaim and left a lasting impression on the audience?',7,4,0.0,0.0,0.0
'What are some popular British movies?',8,730,0.75,0.3333333333333333,0.4615384615384615
'What are some popular British comedy movies?',10,180,0.8,0.4,0.5333333333333333
'What are some popular movies related to Broadway?',5,137,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies featuring the theme of brotherhood or relationships between siblings?',5,270,0.4,0.1428571428571428,0.2105263157894736
'brutal',0,749,0.0,0.0,0.0
'What are some movies that depict or involve brutality?',5,2893,0.6,0.2,0.3
'What are some popular buddy movie examples?',5,266,0.6,0.2,0.3
'bullshit history',5,18,0.4,0.1428571428571428,0.2105263157894736
'What are some movies that depict or address the theme of bullying?',5,394,0.8,0.25,0.3809523809523809
'What are some popular movies that involve business themes or have significant business aspects?',6,201,0.5,0.2,0.2857142857142857
'Can you suggest a movie adaptation of C.S. Lewis's works?',5,6,0.0,0.0,0.0
'What are some popular movies set in California?',6,587,0.0,0.0,0.0
'What are some popular movies related to the theme of 'camp'?',5,631,0.6,0.2,0.3
'Campy movies',5,256,0.8,0.25,0.3809523809523809
'Canada-related movies',5,92,0.2,0.0769230769230769,0.1111111111111111
'Can you recommend any movies that deal with the theme of cancer?',5,276,0.8,0.25,0.3809523809523809
'can you recommend any movie related to the theme of cannibalism?',5,119,0.4,0.1428571428571428,0.2105263157894736
'What are some movies that explore the theme of capitalism?',5,222,0.6,0.2,0.3
'car chase',5,360,0.4,0.1428571428571428,0.2105263157894736
'What are some movies featuring Carrie-Anne Moss?',5,7,0.4,0.2857142857142857,0.3333333333333333
'What are some popular movies related to the theme of cars?',5,160,0.6,0.2,0.3
'What are some popular cartoon movies?',10,425,0.9,0.4285714285714285,0.5806451612903225
'What are some popular movies related to the theme of casinos?',5,71,0.8,0.25,0.3809523809523809
'What are some movie examples related to the theme of catastrophe?',5,3462,0.8,0.25,0.3809523809523809
'Can you recommend a cathartic movie that helps in emotional healing?',4,170,0.25,0.0769230769230769,0.1176470588235294
'Can you suggest a movie that has a significant theme related to Catholicism?',3,148,0.3333333333333333,0.0769230769230769,0.125
'What are some movies that have dealt with or been affected by the issue of censorship?',5,397,0.0,0.0,0.0
'Can you recommend any cerebral movies that focus on thought-provoking themes and intellectual storylines?',9,1829,0.6666666666666666,0.3333333333333333,0.4444444444444444
'What are some popular movies that extensively used CGI technology?',5,333,0.4,0.1428571428571428,0.2105263157894736
'Character study',4,1207,0.5,0.1428571428571428,0.2222222222222222
'What are some popular movies that involve a chase scene?',5,3941,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies related to cheerleading?',5,165,0.6,0.2,0.3
'Can you recommend a cheesy movie for a light-hearted movie night?',2,169,0.0,0.0,0.0
'What are some popular movies related to the theme of chess?',5,27,0.6,0.2,0.3
'What is a famous movie related to the theme of Chicago?',3,26,0.6666666666666666,0.1428571428571428,0.2352941176470588
'chick flick',5,643,0.6,0.2,0.3
'What are some movies that address the issue of child abuse?',5,91,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies that depict childhood experiences or themes?',5,1561,0.6,0.2,0.3
'What are some popular children's movies that have entertained generations?',7,853,0.4285714285714285,0.2,0.2727272727272727
'What are some popular Chinese movies or films that have gained international recognition?',6,139,0.0,0.0,0.0
'What are some popular movies related to the theme of chocolate?',7,22,0.2857142857142857,0.1428571428571428,0.1904761904761904
'What are some popular movies starring Chris Tucker?',4,10,0.5,0.2,0.2857142857142857
'What are some popular movies related to the Christian theme or featuring Christian characters?',5,130,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies related to Christianity?',5,121,0.2,0.0769230769230769,0.1111111111111111
'What are some popular Christmas-themed movies?',5,102,0.6,0.2,0.3
'What are some popular movies related to the CIA?',5,84,0.8,0.25,0.3809523809523809
'What are some movies known for their exceptional cinematography?',6,3038,0.5,0.2,0.2857142857142857
'What are some popular movies related to the circus theme?',5,15,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies related to the theme of civil war?',5,260,1.0,0.2941176470588235,0.4545454545454545
'What are some classic movies that have left a lasting impact on the film industry?',5,1139,0.6,0.2,0.3
'What are some classic car movies that feature prominently the role of a vintage automobile?',5,367,0.6,0.2,0.3
'What are some movies that feature classical music prominently in their soundtracks or storylines?',5,63,0.6,0.2,0.3
'What are some examples of movies with claustrophobic themes or settings?',5,720,0.8,0.25,0.3809523809523809
'Claymation movies',5,19,0.6,0.2,0.3
'What are some clever movies that have unique plot twists and intelligent characters?',5,1938,0.4,0.1428571428571428,0.2105263157894736
'Can you recommend a movie featuring clones as a central theme?',4,228,0.25,0.0769230769230769,0.1176470588235294
'Can you recommend a movie that involves cloning as a significant theme?',3,146,0.6666666666666666,0.1428571428571428,0.2352941176470588
'What are some popular movies featuring clowns as main characters or significant roles?',5,33,0.2,0.0769230769230769,0.1111111111111111
'coen bros',5,117,0.8,0.25,0.3809523809523809
'coen brothers',6,20,0.8333333333333334,0.2941176470588235,0.4347826086956522
'What are some popular movies related to the Cold War theme?',5,172,0.6,0.2,0.3
'What are some popular movies related to the college theme?',6,176,0.6666666666666666,0.25,0.3636363636363636
'What are some movies that address the theme of colonialism?',5,40,0.2,0.0769230769230769,0.1111111111111111
'colourful',5,458,0.2,0.0769230769230769,0.1111111111111111
'What are some popular comedy movies?',8,2444,0.75,0.3333333333333333,0.4615384615384615
'What are some popular movies related to the comic genre?',5,90,0.6,0.2,0.3
'What are some popular movies based on comic books?',10,177,0.8,0.4,0.5333333333333333
'comic book adaption',10,84,0.3,0.2,0.24
'What are some popular movies based on comics or adapted from comic books?',18,151,0.3888888888888889,0.3684210526315789,0.3783783783783783
'What are some popular movies that represent the coming of age theme?',6,767,0.6666666666666666,0.25,0.3636363636363636
'What are some popular coming-of-age movies?',5,498,0.6,0.2,0.3
'What are some movies related to the theme of communism?',5,65,0.2,0.0769230769230769,0.1111111111111111
'What are some movies that portray compassionate characters or themes?',5,471,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies that involve competition or have a competitive theme?',5,77,0.0,0.0,0.0
'What are some movies with complex storylines or characters?',5,2161,0.6,0.2,0.3
'What are some movies with complex characters that have gained significant attention?',5,260,0.6,0.2,0.3
'What are some examples of complicated movies that have intricate plots and storylines?',6,673,1.0,0.3333333333333333,0.5
'complicated plot',5,332,0.8,0.25,0.3809523809523809
'What are some popular computer animation movies?',7,476,0.8571428571428571,0.3333333333333333,0.48
'What are some popular movies related to the theme of computer games?',6,149,0.6666666666666666,0.25,0.3636363636363636
'What are some popular movies related to the theme of computers or technology?',6,64,0.6666666666666666,0.25,0.3636363636363636
'What are some popular movies featuring con artists as the main characters?',5,91,0.6,0.2,0.3
'What are some popular movies featuring con men as main characters?',5,83,0.6,0.2,0.3
'confrontational',4,61,0.0,0.0,0.0
'Can you recommend a movie that has a confusing plot or ending?',5,272,0.8,0.25,0.3809523809523809
'conspiracy',0,756,0.0,0.0,0.0
'conspiracy theory',5,162,0.2,0.0769230769230769,0.1111111111111111
'What are some controversial movies that have sparked debates and discussions?',5,399,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies related to cooking?',5,32,1.0,0.2941176470588235,0.4545454545454545
'What are some cool movies that you would recommend?',5,874,0.4,0.1428571428571428,0.2105263157894736
'What are some examples of movies with a corny theme or plot?',5,33,0.0,0.0,0.0
'What are some movies related to the theme of corporate America?',8,119,0.5,0.25,0.3333333333333333
'corruption',5,2357,0.8,0.25,0.3809523809523809
'What are some popular costume dramas that feature elaborate costumes and settings?',10,330,0.5,0.2941176470588235,0.3703703703703703
'What are some movies that showcase the theme of courage?',5,724,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies related to the theme of court or legal system?',6,148,0.6666666666666666,0.25,0.3636363636363636
'courtroom',5,161,0.6,0.2,0.3
'courtroom drama',5,59,0.4,0.1428571428571428,0.2105263157894736
'crappy sequel',5,307,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies with the theme of insanity or craziness?',5,123,0.6,0.2,0.3
'What are some movies that showcase creativity in their storytelling or production?',5,1193,0.6,0.2,0.3
'Creepy movies',5,1094,0.4,0.1428571428571428,0.2105263157894736
'crime',5,1287,0.4,0.1428571428571428,0.2105263157894736
'crime gone awry',5,840,0.8,0.25,0.3809523809523809
'What are some popular movies under the Criterion Collection?',7,3362,0.4285714285714285,0.2,0.2727272727272727
'Cross dressing in movies',6,113,0.5,0.2,0.2857142857142857
'What are some movies with crude humor that you would recommend?',5,615,0.8,0.25,0.3809523809523809
'What are some popular movies related to Cuba?',5,34,0.6,0.2,0.3
'What are some popular movies considered as cult classics?',5,414,0.6,0.2,0.3
'cult classic',5,1427,0.4,0.1428571428571428,0.2105263157894736
'cult film',5,1344,0.6,0.2,0.3
'What are some movies that depict or explore the theme of culture clash?',5,2591,0.6,0.2,0.3
'What are some examples of cute movies?',5,558,0.4,0.1428571428571428,0.2105263157894736
'Cyberpunk',3,144,0.6666666666666666,0.1428571428571428,0.2352941176470588
'What are some popular movies featuring cyborgs as characters?',5,82,0.2,0.0769230769230769,0.1111111111111111
'What are some cynical movies that depict a pessimistic view of life?',5,577,0.6,0.2,0.3
'What are some popular movies related to the theme of dance?',7,215,0.7142857142857143,0.2941176470588235,0.4166666666666667
'What are some popular movies that involve dancing as a significant aspect?',5,219,1.0,0.2941176470588235,0.4545454545454545
'What are some popular movies with a dark theme or atmosphere?',5,1238,0.0,0.0,0.0
'dark comedy',5,400,0.6,0.2,0.3
'What are some popular dark fantasy movies?',5,259,0.2,0.0769230769230769,0.1111111111111111
'What are some dark hero movies that feature a protagonist with a complex moral journey?',5,268,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies with dark humor elements?',8,1105,0.75,0.3333333333333333,0.4615384615384615
'dc comics',5,53,0.8,0.25,0.3809523809523809
'What are some examples of movies featuring deadpan humor or actors known for their deadpan performances?',5,132,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies with the theme of death or related to it?',5,1879,0.0,0.0,0.0
'What are some movies related to the theme of the death penalty?',5,95,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies related to the theme of demons?',5,504,0.4,0.1428571428571428,0.2105263157894736
'depp & burton',5,11,1.0,0.4545454545454545,0.625
'depressing',5,490,0.8,0.25,0.3809523809523809
'What are some movies that deal with the theme of depression?',5,1417,1.0,0.2941176470588235,0.4545454545454545
'What are some movies related to the theme of destiny?',5,2171,0.6,0.2,0.3
'What are some popular detective movies?',6,543,0.5,0.2,0.2857142857142857
'What are some popular movies related to the theme of the devil or featuring devil characters?',5,203,0.8,0.25,0.3809523809523809
'What are some famous movies known for their memorable dialogue?',11,4174,0.6363636363636364,0.3684210526315789,0.4666666666666667
'dialogue driven',3,222,0.3333333333333333,0.0769230769230769,0.125
'What are some popular movies featuring dinosaurs?',9,104,0.6666666666666666,0.3333333333333333,0.4444444444444444
'Discuss a movie that features a character with a disability and how it portrays their experience.',4,165,0.75,0.2,0.3157894736842105
'Disaster movies',5,190,0.8,0.25,0.3809523809523809
'What are some popular Disney movies?',7,242,0.5714285714285714,0.25,0.3478260869565217
'What are some popular Disney animated feature movies?',6,87,0.6666666666666666,0.25,0.3636363636363636
'What are some examples of dystopian movies?',5,376,0.4,0.1428571428571428,0.2105263157894736
'What are some disturbing movies that have left a lasting impact on viewers?',5,1125,0.2,0.0769230769230769,0.1111111111111111
'What are some movies related to the theme of divorce?',5,390,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies featuring doctors as main characters or significant roles?',7,474,0.5714285714285714,0.25,0.3478260869565217
'What are some popular documentary movies?',5,552,0.6,0.2,0.3
'What are some popular movies featuring dogs as main characters or important roles?',6,171,0.8333333333333334,0.2941176470588235,0.4347826086956522
'What are some popular movies featuring dogs as main characters or significant roles?',6,94,0.8333333333333334,0.2941176470588235,0.4347826086956522
'What are some popular movies featuring dolphins as main characters or significant roles?',5,12,0.4,0.1666666666666666,0.2352941176470588
'downbeat',4,1398,0.25,0.0769230769230769,0.1176470588235294
'What are some popular movies based on Dr. Seuss's works?',4,6,0.25,0.1666666666666666,0.2
'What are some popular movies related to the theme of dragons?',5,28,0.8,0.25,0.3809523809523809
'What are some popular movies featuring dragons as main characters or significant elements?',5,129,0.8,0.25,0.3809523809523809
'What are some popular drama movies?',11,3826,0.4545454545454545,0.2941176470588235,0.3571428571428571
'What are some popular dramatic movies that have received critical acclaim?',11,2164,0.4545454545454545,0.2941176470588235,0.3571428571428571
'What are some dreamlike movies that can evoke a surreal and imaginative experience?',5,585,0.6,0.2,0.3
'What are some popular movies that involve dreams or dream-like scenarios?',5,524,0.6,0.2,0.3
'What are some popular movies produced by DreamWorks Animation?',5,20,0.8,0.25,0.3809523809523809
'What are some popular movies that involve the theme of drinking?',10,1921,0.8,0.4,0.5333333333333333
'What are some movies that deal with the theme of drug abuse?',5,297,1.0,0.2941176470588235,0.4545454545454545
'What are some movies that deal with the theme of drug addiction?',5,243,1.0,0.2941176470588235,0.4545454545454545
'What are some movies that deal with the theme of drugs?',5,611,1.0,0.2941176470588235,0.4545454545454545
'What are some examples of movies with a dumb or silly theme?',5,292,0.8,0.25,0.3809523809523809
'dumb but funny',4,336,0.5,0.1428571428571428,0.2222222222222222
'What are some examples of movies that feature dynamic CGI action?',6,425,0.5,0.2,0.2857142857142857
'What are some movie examples that involve a dysfunctional family?',5,890,0.4,0.1428571428571428,0.2105263157894736
'What are some popular dystopian movies?',7,303,0.5714285714285714,0.25,0.3478260869565217
'dystopic future',5,289,0.6,0.2,0.3
'What are some examples of movies with an earnest theme or featuring earnest characters?',5,712,0.6,0.2,0.3
'easily confused with other movie(s) (title)',8,1,0.0,0.0,0.0
'What are some notable movies related to East Germany?',5,30,0.2,0.0769230769230769,0.1111111111111111
'What are some movies that showcase eccentric characters or have eccentric storylines?',6,517,0.3333333333333333,0.1428571428571428,0.2
'What are some movies that have a significant focus on ecology and environmental themes?',6,44,0.1666666666666666,0.0769230769230769,0.1052631578947368
'What are some educational movies that teach important lessons or convey knowledge?',5,99,0.2,0.0769230769230769,0.1111111111111111
'What are some examples of eerie movies?',5,489,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies known for their groundbreaking special effects?',5,353,0.6,0.2,0.3
'What are some popular movies related to the theme of ancient Egypt?',7,84,0.2857142857142857,0.1428571428571428,0.1904761904761904
'What are some movies featuring Emma Watson?',5,18,0.2,0.0769230769230769,0.1111111111111111
'What are some emotional movies that can evoke strong feelings?',5,1067,0.8,0.25,0.3809523809523809
'end of the world',5,428,0.6,0.2,0.3
'What are some popular movies set in England?',8,538,0.625,0.2941176470588235,0.4
'enigmatic',2,2536,1.0,0.1428571428571428,0.25
'What is Ennio Morricone's contribution to the movie industry particularly in terms of his iconic film scores?',5,34,0.2,0.0769230769230769,0.1111111111111111
'enormously long battle scene',5,128,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies featuring an ensemble cast?',6,402,0.3333333333333333,0.1428571428571428,0.2
'Entertaining movies',5,1151,0.6,0.2,0.3
'What are some movies that are entirely dialogue-driven and focus on the characters' conversations?',8,612,0.75,0.3333333333333333,0.4615384615384615
'What are some movies that have a strong focus on the environment or feature environmental themes?',7,133,0.2857142857142857,0.1428571428571428,0.1904761904761904
