,Prompt,Actual,Expected,Precision,Recall,F1
59,'kick-butt women',6,47,0.0,0.0,0.0
60,'What are some popular movies related to the theme of kidnapping?',7,429,0.5714285714285714,0.25,0.34782608695652173
61,'What are some popular kids' movies?',5,684,0.6,0.2,0.3
62,'What are some popular movies suitable for kids and family?',6,596,0.6666666666666666,0.25,0.36363636363636365
63,'king arthur',4,16,0.75,0.2,0.31578947368421056
64,'What are some notable movies directed by Stanley Kubrick?',5,16,0.4,0.14285714285714285,0.21052631578947364
65,'What are some popular movies related to the kung fu genre?',5,224,0.2,0.07692307692307693,0.1111111111111111
66,'What are some notable movies directed by Akira Kurosawa?',5,39,0.6,0.2,0.3
67,'lame',2,404,0.0,0.0,0.0
68,'What are some popular movies set in Las Vegas?',8,126,0.75,0.3333333333333333,0.46153846153846156
69,'What are some popular movies related to Latin America?',5,148,0.0,0.0,0.0
70,'What are some popular movies featuring lawyers as main characters or significant roles?',10,302,0.8,0.4,0.5333333333333333
71,'What are some popular movies featuring lawyers as main characters or significant roles?',10,215,0.7,0.3684210526315789,0.48275862068965514
72,'What are some popular movies featuring lesbian characters or storylines?',6,149,0.8333333333333334,0.29411764705882354,0.4347826086956522
73,'What are some popular movies that revolve around the theme of life?',5,1056,0.4,0.14285714285714285,0.21052631578947364
74,'life & death',3,1797,0.3333333333333333,0.07692307692307693,0.125
75,'life philosophy',0,2093,0.0,0.0,0.0
76,'What are some popular movies related to the theme of light?',7,1918,0.2857142857142857,0.14285714285714285,0.19047619047619047
77,'What are some popular movies featuring lions as characters or in the storyline?',5,73,0.4,0.14285714285714285,0.21052631578947364
78,'What are some popular literary adaptations in the movie industry?',5,162,0.0,0.0,0.0
79,'What are some popular movies adapted from literature?',5,481,0.2,0.07692307692307693,0.1111111111111111
80,'What are some movies featuring Liv Tyler?',7,23,0.2857142857142857,0.14285714285714285,0.19047619047619047
81,'What are some popular movies set in London?',7,479,0.5714285714285714,0.25,0.34782608695652173
82,'lone hero',3,721,0.3333333333333333,0.07692307692307693,0.125
83,'Can you recommend a movie that portrays the theme of loneliness in a compelling way?',3,2215,0.6666666666666666,0.14285714285714285,0.23529411764705882
84,'What are some examples of long movies that have captivated audiences?',4,292,0.75,0.2,0.31578947368421056
85,'What are some popular movies set in Los Angeles?',5,362,1.0,0.29411764705882354,0.45454545454545453
86,'love story',4,1520,0.75,0.2,0.31578947368421056
87,'love triangles',5,124,0.4,0.14285714285714285,0.21052631578947364
88,'low budget movies',5,611,0.8,0.25,0.38095238095238093
89,'What are some movies directed by David Lynch?',7,121,0.8571428571428571,0.3333333333333333,0.48
90,'Can you suggest a lyrical movie that has a captivating soundtrack and storyline?',2,374,0.0,0.0,0.0
91,'What are some popular movies with a macabre theme?',7,817,0.14285714285714285,0.07692307692307693,0.1
92,'What are some popular movies featuring a mad scientist character?',7,439,0.7142857142857143,0.29411764705882354,0.4166666666666667
93,'What are some popular movies made for TV?',7,3,0.0,0.0,0.0
94,'What are some popular movies related to the mafia theme?',5,238,0.6,0.2,0.3
95,'What are some popular movies related to the theme of magic?',5,359,0.2,0.07692307692307693,0.1111111111111111
96,'What are some popular movies that fall under the genre of magic realism?',8,143,0.25,0.14285714285714285,0.18181818181818182
97,'Male nudity in movies',7,1006,0.2857142857142857,0.14285714285714285,0.19047619047619047
98,'What are some movies that involve a conflict between man and machine?',7,32,0.42857142857142855,0.2,0.27272727272727276
99,'What are some movies that involve manipulation as a central theme or plot device?',7,755,0.42857142857142855,0.2,0.27272727272727276
100,'What are some movies related to the theme of marijuana?',5,128,1.0,0.29411764705882354,0.45454545454545453
101,'What are some popular movies that involve or revolve around the theme of marriage?',7,521,0.14285714285714285,0.07692307692307693,0.1
102,'What are some popular movies related to Mars or set on the planet Mars?',5,177,1.0,0.29411764705882354,0.45454545454545453
103,'What are some popular martial arts movies?',8,289,0.25,0.14285714285714285,0.18181818181818182
104,'marvel',15,76,0.7333333333333333,0.4782608695652174,0.5789473684210527
105,'What are some popular movies featuring the Marx Brothers?',7,11,0.42857142857142855,0.2727272727272727,0.33333333333333326
106,'What are some examples of movies considered masterpieces in the film industry?',7,1238,0.42857142857142855,0.2,0.27272727272727276
107,'Can you recommend a movie that has a significant role of mathematics in its plot?',2,39,1.0,0.14285714285714285,0.25
108,'What are some movies related to mathematics?',5,28,0.6,0.2,0.3
109,'What are some popular movies related to the theme of mazes or labyrinths?',5,71,0.4,0.14285714285714285,0.21052631578947364
110,'What are some popular medieval-themed movies?',5,188,0.6,0.2,0.3
111,'What are some meditative movies that focus on inner reflection and mindfulness?',7,753,0.42857142857142855,0.2,0.27272727272727276
112,'Can you recommend a melancholic movie that evokes deep emotions and showcases a somber atmosphere?',4,3162,0.75,0.2,0.31578947368421056
113,'What are some movies that depict or are related to the theme of melancholy?',5,1261,0.8,0.25,0.38095238095238093
114,'What are some popular movies that involve the theme of memory or have a significant memory-related plot?',5,252,1.0,0.29411764705882354,0.45454545454545453
115,'What are some movies that deal with the theme of memory loss?',5,131,0.8,0.25,0.38095238095238093
116,'mental hospital',4,43,0.5,0.14285714285714285,0.22222222222222224
117,'What are some movies that deal with the theme of mental illness?',5,574,0.8,0.25,0.38095238095238093
118,'Can you recommend a movie where a character serves as a mentor to another character?',5,6785,0.6,0.2,0.3
119,'Can you recommend a movie that explores metaphysical themes?',3,78,0.3333333333333333,0.07692307692307693,0.125
120,'What are some popular movies set in Mexico or featuring Mexican culture?',9,91,0.4444444444444444,0.25,0.32
121,'What are some popular movies related to the Middle East?',5,138,0.6,0.2,0.3
122,'midlife crisis',6,205,0.5,0.2,0.28571428571428575
123,'What are some popular movies related to the military theme?',5,274,0.8,0.25,0.38095238095238093
124,'What are some mind-bending movies that can be considered as mindfucks?',8,268,0.75,0.3333333333333333,0.46153846153846156
125,'What are some popular movies related to the mining industry or mining themes?',8,43,0.25,0.14285714285714285,0.18181818181818182
126,'What are some movies related to the state of Minnesota?',5,22,0.4,0.14285714285714285,0.21052631578947364
127,'What movie has a plot related to a mission from God?',2,14,0.0,0.0,0.0
128,'What are some popular movies that involve a case of mistaken identity?',5,154,0.4,0.14285714285714285,0.21052631578947364
129,'What are some popular movies directed by Hayao Miyazaki?',5,21,0.0,0.0,0.0
130,'What are some popular movies related to the theme of 'mob'?',6,390,0.5,0.2,0.28571428571428575
131,'mockumentary',5,70,0.2,0.07692307692307693,0.1111111111111111
132,'What are some popular modern fantasy movies?',5,114,0.0,0.0,0.0
133,'What are some popular movies related to the theme of money?',5,109,0.2,0.07692307692307693,0.1111111111111111
134,'What are some popular movies featuring monkeys as characters or main themes?',8,19,0.25,0.14285714285714285,0.18181818181818182
135,'What are some popular movies related to the theme of monsters?',6,552,0.6666666666666666,0.25,0.36363636363636365
136,'What are some popular movies featuring monsters as main characters or themes?',6,268,0.5,0.2,0.28571428571428575
137,'What are some popular movies related to Monty Python?',5,8,0.2,0.125,0.15384615384615385
138,'What are some moody movies that depict complex emotions and atmospheres?',6,298,0.0,0.0,0.0
139,'What are some popular movies related to the theme of the moon?',6,33,0.6666666666666666,0.25,0.36363636363636365
140,'What are some movie examples that explore the theme of moral ambiguity?',5,626,0.4,0.14285714285714285,0.21052631578947364
141,'What are some movies that explore the theme of morality?',5,345,0.2,0.07692307692307693,0.1111111111111111
142,'What are some movies that focus on the mother-daughter relationship?',5,74,0.4,0.14285714285714285,0.21052631578947364
143,'What are some movies that focus on the mother-son relationship?',5,106,0.2,0.07692307692307693,0.1111111111111111
144,'What are some popular movies featuring motorcycles as a significant element?',8,135,0.625,0.29411764705882354,0.4
145,'What are some popular movies related to mountain climbing?',5,18,0.8,0.25,0.38095238095238093
146,'What are some popular movies related to the movie business industry?',7,27,0.0,0.0,0.0
147,'What are some popular movies from the Movielens top pick list?',9,982,0.3333333333333333,0.2,0.25
148,'What are some popular movies that involve the theme of moving or relocation?',6,32,0.16666666666666666,0.07692307692307693,0.10526315789473684
149,'What is a movie related to Mozart?',3,61,0.3333333333333333,0.07692307692307693,0.125
150,'What are some popular movies related to the MTV tag?',7,10,0.14285714285714285,0.1,0.11764705882352941
151,'What are some movies with multiple storylines?',5,282,1.0,0.29411764705882354,0.45454545454545453
152,'What are some popular movies related to the theme of 'mummy'?',5,35,0.2,0.07692307692307693,0.1111111111111111
153,'What are some popular movies featuring the Muppets?',5,13,0.2,0.07692307692307693,0.1111111111111111
154,'What are some popular movies related to the theme of murder?',8,2229,0.5,0.25,0.3333333333333333
155,'murder mystery',5,540,0.6,0.2,0.3
156,'What are some popular movies that feature music as a significant aspect?',5,597,0.8,0.25,0.38095238095238093
157,'What are some popular movies related to the music business?',5,107,0.8,0.25,0.38095238095238093
158,'What are some popular musical movies that people enjoy?',5,504,0.8,0.25,0.38095238095238093
159,'What are some movies related to musicians?',5,307,0.0,0.0,0.0
160,'What are some popular movies featuring mutants as main characters or significant roles?',13,184,0.46153846153846156,0.3333333333333333,0.3870967741935484
161,'What are some popular mystery movies that you can recommend?',5,641,0.6,0.2,0.3
162,'What are some popular movies related to mythology?',8,529,0.125,0.07692307692307693,0.09523809523809525
163,'Can you suggest a movie that has a narration or is narrated in a unique way?',3,1615,1.0,0.2,0.33333333333333337
164,'What are some popular movies related to NASA or space exploration?',5,82,0.6,0.2,0.3
165,'What are some movies that feature Native American characters or storylines?',5,101,0.4,0.14285714285714285,0.21052631578947364
166,'What are some popular movies related to the theme of natural disasters?',5,794,0.8,0.25,0.38095238095238093
167,'What are some popular movies that involve or showcase nature in their storylines?',5,36,0.2,0.07692307692307693,0.1111111111111111
168,'What are some movies related to the Nazi theme?',5,259,0.6,0.2,0.3
169,'What are some movies related to the theme of Nazis?',5,281,0.6,0.2,0.3
170,'What are some popular movies related to Neil Gaiman's works?',5,4,0.4,0.5,0.4444444444444445
171,'What are some movies related to the neo-nazis theme?',5,9,0.8,0.4444444444444444,0.5714285714285714
172,'What are some popular neo-noir movies?',6,290,0.8333333333333334,0.29411764705882354,0.4347826086956522
173,'What are some popular movies featuring nerdy characters or storylines?',6,111,0.3333333333333333,0.14285714285714285,0.2
174,'What are some movies related to New Jersey?',5,353,0.6,0.2,0.3
175,'new orleans',5,74,0.0,0.0,0.0
176,'What are some popular movies set in New York?',5,432,0.6,0.2,0.3
177,'new york city',5,389,0.4,0.14285714285714285,0.21052631578947364
178,'What are some popular movies set in New Zealand?',5,21,0.6,0.2,0.3
179,'What are some popular movies featuring a ninja character or theme?',7,158,0.5714285714285714,0.25,0.34782608695652173
180,'no dialogue',5,12,0.0,0.0,0.0
181,'no plot',0,26,0.0,0.0,0.0
182,'Can you suggest a movie related to the theme of 'nocturnal'?',3,824,0.6666666666666666,0.14285714285714285,0.23529411764705882
183,'noir',5,307,0.6,0.2,0.3
184,'noir thriller',10,275,0.5,0.29411764705882354,0.37037037037037035
185,'non-hollywood ending',3,26,0.0,0.0,0.0
186,'Can you suggest a few non-linear movies that have received critical acclaim?',5,183,0.8,0.25,0.38095238095238093
187,'What are some examples of movies with nonlinear storytelling techniques?',5,303,0.8,0.25,0.38095238095238093
188,'What are some popular movies that evoke feelings of nostalgia?',5,64,0.0,0.0,0.0
189,'What are some nostalgic movies that evoke a sense of longing for the past?',5,721,0.4,0.14285714285714285,0.21052631578947364
190,'not as good as the first',0,26,0.0,0.0,0.0
191,'notable nudity',5,248,0.0,0.0,0.0
192,'notable soundtrack',4,36,0.0,0.0,0.0
193,'What are some popular movies related to the theme of nuclear power or nuclear disasters?',7,38,0.2857142857142857,0.14285714285714285,0.19047619047619047
194,'What are some movies related to the theme of a nuclear bomb?',5,26,0.2,0.07692307692307693,0.1111111111111111
195,'What are some movies related to the theme of nuclear war?',5,63,0.6,0.2,0.3
196,'Can you suggest a movie with a significant amount of nudity in it?',4,319,0.75,0.2,0.31578947368421056
197,'nudity (full frontal - brief)',3,467,0.6666666666666666,0.14285714285714285,0.23529411764705882
198,'Can you suggest any movie with notable full frontal nudity scenes?',5,961,0.8,0.25,0.38095238095238093
199,'nudity (full frontal)',5,217,0.8,0.25,0.38095238095238093
200,'nudity (rear)',4,130,0.25,0.07692307692307693,0.11764705882352941
201,'nudity (topless - brief)',5,340,0.0,0.0,0.0
202,'nudity (topless - notable) in movies',5,937,0.6,0.2,0.3
203,'nudity (topless) in movies',6,638,0.16666666666666666,0.07692307692307693,0.10526315789473684
204,'What are some movie examples related to the theme of obsession?',5,2085,0.8,0.25,0.38095238095238093
205,'What are some popular movies related to the ocean theme?',5,54,0.4,0.14285714285714285,0.21052631578947364
206,'off-beat comedy',5,707,0.6,0.2,0.3
207,'What are some popular movies related to the office setting?',5,16,0.2,0.07692307692307693,0.1111111111111111
208,'What are some movies related to the oil industry?',5,131,0.6,0.2,0.3
209,'What are some popular movies related to the Olympics?',5,36,0.8,0.25,0.38095238095238093
210,'What are some ominous movies that evoke a sense of dread and suspense?',5,501,0.2,0.07692307692307693,0.1111111111111111
211,'What are some popular movies related to the theme of opera?',5,25,0.0,0.0,0.0
212,'What are some popular movies related to the theme of organized crime?',8,401,0.625,0.29411764705882354,0.4
213,'What are some examples of original movies that have gained significant popularity?',5,12725,0.4,0.14285714285714285,0.21052631578947364
214,'original plot',0,850,0.0,0.0,0.0
215,'orphans',5,31,0.6,0.2,0.3
216,'What are some Oscar-winning movies that you would recommend?',5,1352,0.8,0.25,0.38095238095238093
217,'What are some Oscar-winning movies featuring actors who won the Best Actor award?',5,315,0.8,0.25,0.38095238095238093
218,'What are some Oscar-winning movies featuring a best actress performance?',5,1425,0.8,0.25,0.38095238095238093
219,'What are some Oscar-winning movies for the best animated feature category?',10,92,0.6,0.3333333333333333,0.42857142857142855
220,'What are some Oscar-winning movies known for their best cinematography?',6,479,0.5,0.2,0.28571428571428575
221,'What are some Oscar-winning movies for best directing?',6,2206,0.3333333333333333,0.14285714285714285,0.2
222,'What are some Oscar-winning movies for best editing?',5,89,0.2,0.07692307692307693,0.1111111111111111
223,'What are some Oscar-winning movies that have received recognition for their outstanding visual effects?',5,171,0.8,0.25,0.38095238095238093
224,'What are some Oscar-winning foreign language films?',5,980,0.4,0.14285714285714285,0.21052631578947364
225,'What are some Oscar-winning movies with the best music - original score category?',5,5,0.0,0.0,0.0
226,'What are some Oscar-winning movies with the best music - original song category?',10,26,0.1,0.07692307692307693,0.08695652173913043
227,'What are some Oscar-winning movies for the Best Picture category?',10,365,0.4,0.25,0.3076923076923077
228,'What are some Oscar-winning movies known for their exceptional sound work?',5,42,0.2,0.07692307692307693,0.1111111111111111
229,'What are some movies that have won an Oscar for Best Supporting Actor?',5,598,0.4,0.14285714285714285,0.21052631578947364
230,'What are some movies that have won the Oscar for Best Supporting Actress?',5,1382,0.4,0.14285714285714285,0.21052631578947364
231,'What are some Oscar-winning movies with the best writing - screenplay written directly for the screen category?',5,222,0.4,0.14285714285714285,0.21052631578947364
232,'What are some Oscar-winning movies?',5,803,0.6,0.2,0.3
233,'What are some examples of movies that can be described as having over-the-top action or performances?',8,36,0.0,0.0,0.0
234,'What are some examples of overrated movies?',5,98,0.2,0.07692307692307693,0.1111111111111111
235,'What are some notable movies related to Palestine?',5,21,0.6,0.2,0.3
236,'What are some popular movies that involve parallel universes or alternate realities?',8,307,0.75,0.3333333333333333,0.46153846153846156
237,'paranoia',4,655,0.25,0.07692307692307693,0.11764705882352941
238,'paranoid',0,633,0.0,0.0,0.0
239,'What are some popular movies related to the theme of parenthood?',5,501,0.6,0.2,0.3
240,'What are some popular movies set in Paris or featuring Parisian themes?',8,297,0.5,0.25,0.3333333333333333
241,'parody',0,576,0.0,0.0,0.0
242,'What are some movies that portray passionate love stories or feature passionate characters?',10,1190,0.8,0.4,0.5333333333333333
243,'What are some popular movies featuring penguins as main characters or significant roles?',5,10,0.8,0.4,0.5333333333333333
244,'What are some popular movies with the theme of perfection or having a perfect character?',6,52,0.16666666666666666,0.07692307692307693,0.10526315789473684
245,'What are some popular period piece movies?',8,624,0.5,0.25,0.3333333333333333
246,'What are some popular movies related to the Peter Pan theme or story?',5,7,0.8,0.5714285714285714,0.6666666666666666
247,'What are some popular PG-rated movies that families can enjoy together?',8,86,0.125,0.07692307692307693,0.09523809523809525
248,'pg-13',5,2759,0.8,0.25,0.38095238095238093
249,'What are some movies adapted from the works of Philip K. Dick?',5,44,0.6,0.2,0.3
250,'What are some philosophical movies that explore deep thoughts and ideas?',7,493,0.5714285714285714,0.25,0.34782608695652173
251,'What are some movies that explore philosophical themes or have a philosophical aspect to them?',6,599,0.5,0.2,0.28571428571428575
252,'What are some movies featuring a photographer as a main character or significant role?',8,20,0.125,0.07692307692307693,0.09523809523809525
253,'What are some movies that involve photography as a significant theme or plot element?',5,383,0.0,0.0,0.0
254,'What are some popular movies featuring pigs as characters or main themes?',7,24,0.0,0.0,0.0
255,'What are some popular movies related to the theme of pirates?',5,43,0.8,0.25,0.38095238095238093
256,'What are some popular Pixar movies?',5,28,0.8,0.25,0.38095238095238093
257,'What are some popular Pixar Animation movies?',7,46,0.7142857142857143,0.29411764705882354,0.4166666666666667
258,'What is the plot of a popular movie?',4,1591,0.5,0.14285714285714285,0.22222222222222224
259,'Explain the concept of plot holes in movies and provide examples of movies with notable plot holes.',3,679,0.0,0.0,0.0
260,'plot twist',5,874,0.4,0.14285714285714285,0.21052631578947364
261,'What are some movies that have a significant connection to poetry or feature poetry as a central theme?',5,74,0.4,0.14285714285714285,0.21052631578947364
262,'Can you recommend a poignant movie that touches the heart and evokes strong emotions?',4,953,0.25,0.07692307692307693,0.11764705882352941
263,'What are some movies that can be considered pointless or have a lack of purpose in their storylines?',5,1047,0.0,0.0,0.0
264,'What are some popular movies related to the theme of poker?',5,41,0.6,0.2,0.3
265,'What are some popular movies related to Poland or set in Poland?',5,152,0.6,0.2,0.3
266,'What are some popular movies related to the police theme?',5,369,0.6,0.2,0.3
267,'What are some movies that deal with the theme of police corruption?',8,309,0.5,0.25,0.3333333333333333
268,'police investigation',5,1332,0.4,0.14285714285714285,0.21052631578947364
269,'political',5,692,0.6,0.2,0.3
270,'What are some movies that have a significant political theme or involve political events?',6,743,0.8333333333333334,0.29411764705882354,0.4347826086956522
271,'What are some movies related to the theme of pornography?',6,2266,0.8333333333333334,0.29411764705882354,0.4347826086956522
272,'What are some popular post-apocalyptic movies?',7,174,0.7142857142857143,0.29411764705882354,0.4166666666666667
273,'What are some popular post-apocalyptic movies?',8,206,0.75,0.3333333333333333,0.46153846153846156
274,'What are some movies that have been considered for potential Oscar nominations?',5,19,0.0,0.0,0.0
275,'What are some movies that address the theme of poverty?',5,216,0.6,0.2,0.3
276,'powerful ending',5,1037,0.4,0.14285714285714285,0.21052631578947364
277,'What are some predictable movies that have gained popularity?',5,3282,0.4,0.14285714285714285,0.21052631578947364
278,'What are some popular movies related to the theme of pregnancy?',5,109,1.0,0.29411764705882354,0.45454545454545453
279,'What are some movies that deal with the theme of prejudice?',6,560,0.5,0.2,0.28571428571428575
280,'What are some examples of movie prequels?',7,67,0.42857142857142855,0.2,0.27272727272727276
281,'What are some movies related to the theme of a president or political figure?',5,136,0.4,0.14285714285714285,0.21052631578947364
282,'What are some pretentious movies that have gained significant attention for their artistic or intellectual approach?',5,271,0.4,0.14285714285714285,0.21052631578947364
283,'What are some popular movies related to the prison theme?',5,295,0.4,0.14285714285714285,0.21052631578947364
284,'What are some popular movies related to the theme of prison escape?',5,181,0.6,0.2,0.3
285,'What are some popular movies featuring private detectives as the main character or a significant role?',8,113,0.5,0.25,0.3333333333333333
286,'What is an example of a movie where product placement played a significant role in the storyline?',3,160,0.6666666666666666,0.14285714285714285,0.23529411764705882
287,'What are some movies related to the prohibition era?',5,40,0.4,0.14285714285714285,0.21052631578947364
288,'What are some movies that have been criticized for their propagandistic content or themes?',5,360,0.2,0.07692307692307693,0.1111111111111111
289,'What are some movies related to the theme of prostitution?',7,182,0.5714285714285714,0.25,0.34782608695652173
290,'What are some popular movies with psychedelic themes or elements?',8,90,0.5,0.25,0.3333333333333333
291,'What are some movies featuring a psychiatrist as a main character or significant role?',6,149,0.8333333333333334,0.29411764705882354,0.4347826086956522
292,'What are some movies related to psychiatry?',5,192,0.8,0.25,0.38095238095238093
293,'What are some psychological movies that explore the complexities of human mind and emotions?',5,1589,1.0,0.29411764705882354,0.45454545454545453
294,'What are some movies that explore or have a significant theme related to psychology?',6,1030,0.8333333333333334,0.29411764705882354,0.4347826086956522
295,'What are some popular movies related to the 'pulp' theme?',5,361,0.4,0.14285714285714285,0.21052631578947364
296,'punk',4,43,0.5,0.14285714285714285,0.22222222222222224
297,'What are some popular movies featuring puppets as main characters or significant elements?',6,27,0.6666666666666666,0.25,0.36363636363636365
298,'queer',5,329,0.4,0.14285714285714285,0.21052631578947364
299,'What are some quirky movies that you have enjoyed watching?',5,1128,0.6,0.2,0.3
300,'Can you suggest some quotable movies with memorable dialogues?',5,611,0.4,0.14285714285714285,0.21052631578947364
301,'What are some popular movies featuring rabbits as main characters or significant roles?',7,23,0.2857142857142857,0.14285714285714285,0.19047619047619047
302,'What are some popular movies that deal with the theme of race?',6,107,0.3333333333333333,0.14285714285714285,0.2
303,'What are some movies that address race issues?',5,282,1.0,0.29411764705882354,0.45454545454545453
304,'What are some popular movies related to the theme of racing?',5,112,0.6,0.2,0.3
305,'What are some movies that address the issue of racism?',5,107,0.8,0.25,0.38095238095238093
306,'What are some popular movies related to the theme of radio or featuring radio as a significant element?',6,97,0.8333333333333334,0.29411764705882354,0.4347826086956522
307,'What are some examples of movies that depict the rags to riches storyline?',5,223,0.6,0.2,0.3
308,'What are some movies that deal with the sensitive topic of rape?',6,244,0.5,0.2,0.28571428571428575
309,'What are some popular movies featuring rats as main characters or significant roles?',5,17,0.4,0.14285714285714285,0.21052631578947364
310,'What are some realistic movies that depict everyday life or events in a believable manner?',5,1192,0.8,0.25,0.38095238095238093
311,'realistic action',8,236,0.5,0.25,0.3333333333333333
312,'What are some movies related to the theme of reality TV?',5,110,0.4,0.14285714285714285,0.21052631578947364
313,'What are some movies related to the theme of rebellion?',5,252,0.6,0.2,0.3
314,'What are some popular movies that involve the theme of redemption?',6,1564,0.3333333333333333,0.14285714285714285,0.2
315,'Can you recommend a reflective movie that encourages deep thinking and self-reflection?',3,1778,0.6666666666666666,0.14285714285714285,0.23529411764705882
316,'What are some movies that explore the theme of relationships?',8,2427,0.875,0.3684210526315789,0.5185185185185185
317,'What are some popular movies related to the theme of religion?',5,254,0.2,0.07692307692307693,0.1111111111111111
318,'Can you suggest a few movies that have been remade or are adaptations of other films?',10,37,0.0,0.0,0.0
319,'What are some popular movie remakes that have gained significant attention?',6,381,0.3333333333333333,0.14285714285714285,0.2
320,'What are some popular movies related to the theme of revenge?',6,1786,0.6666666666666666,0.25,0.36363636363636365
321,'What are some examples of ridiculous movies?',7,285,0.14285714285714285,0.07692307692307693,0.1
